CMDLINE /home/d514/Documents/KPL26/KPL_Danu_Warisman_103122400041_S1SE-08-02/.venv/bin/python memori_profile.py
MEM 0.664062 1777970328.3685
MEM 13.632812 1777970328.4691
MEM 13.988281 1777970328.5696
MEM 15.121094 1777970328.6701
MEM 15.570312 1777970328.7707
MEM 17.421875 1777970328.8712
MEM 22.953125 1777970328.9732
MEM 23.144531 1777970329.0737
MEM 24.132812 1777970329.1742
MEM 24.863281 1777970329.2749
MEM 24.875000 1777970329.3754
MEM 26.121094 1777970329.4760
MEM 27.460938 1777970329.5767
MEM 27.531250 1777970329.6772
MEM 27.531250 1777970329.7777
MEM 27.531250 1777970329.8782
MEM 27.531250 1777970329.9786
MEM 27.531250 1777970330.0791
MEM 27.531250 1777970330.1796
MEM 27.531250 1777970330.2800
MEM 27.531250 1777970330.3806
MEM 27.531250 1777970330.4810
MEM 27.531250 1777970330.5815
MEM 27.531250 1777970330.6819
MEM 27.531250 1777970330.7824
MEM 27.531250 1777970330.8828
MEM 27.531250 1777970330.9832
MEM 27.531250 1777970331.0836
MEM 27.531250 1777970331.1841
MEM 27.531250 1777970331.2846
MEM 27.531250 1777970331.3850
MEM 27.531250 1777970331.4856
MEM 27.531250 1777970331.5861
MEM 27.531250 1777970331.6865
MEM 27.531250 1777970331.7870
MEM 27.531250 1777970331.8874
MEM 27.531250 1777970331.9879
MEM 27.531250 1777970332.0884
MEM 27.531250 1777970332.1888
MEM 27.531250 1777970332.2892
MEM 27.531250 1777970332.3896
MEM 27.531250 1777970332.4900
MEM 27.531250 1777970332.5904
MEM 27.531250 1777970332.6909
MEM 27.531250 1777970332.7913
MEM 27.531250 1777970332.8917
MEM 27.542969 1777970332.9922
MEM 27.542969 1777970333.0926
MEM 27.542969 1777970333.1930
MEM 27.542969 1777970333.2934
MEM 27.554688 1777970333.3938
MEM 27.574219 1777970333.4944
MEM 27.589844 1777970333.5948
MEM 27.601562 1777970333.6952
MEM 27.621094 1777970333.7957
MEM 27.640625 1777970333.8961
MEM 27.652344 1777970333.9966
MEM 27.671875 1777970334.0970
MEM 27.687500 1777970334.1974
MEM 27.707031 1777970334.2979
MEM 27.722656 1777970334.3982
MEM 27.742188 1777970334.4987
MEM 27.757812 1777970334.5991
MEM 27.773438 1777970334.7004
MEM 27.789062 1777970334.8008
MEM 27.800781 1777970334.9012
